大家好,我是尤尚捷
讓我們隆重歡迎這次的乾爹 Surfshark VPN
你有在看劇的時候跳出
你所在的區域不支援本服務過嗎?
這應該是大家最主攔的一行字了吧?
也是我在德國使用很多服務的家常便飯
像 Netflix 甚至很多電影跟劇的字幕
居然都跟你所在的地區有關
像我前陣子想從上面看鬼滅之刃
結果發現德國版居然只有德文字幕可以選
其實我真心不懂這個設計耶
字幕檔不是本來都有嗎?為什麼?
就是不讓我選了
反正總之最後我就只好放棄
幸好 Surfshark VPN 即時出現
手指輕輕一點
我們的網路位置馬上可以從台灣、德國、美國
或是其他世界各國之間跳躍
追劇無國界
這應該某種程度上應該是解鎖地球了吧?
而且就像旅行箱我們會上鎖一樣
我們的網路足跡也需要受到保護
透過 Surfshark VPN
可以讓我們的資料更加保密
隱私也更受到保護
現在 Surfshark 推出30 天內 100% 的退款保證
另外只要在註冊的時候
輸入解鎖地球的專屬優惠碼
Unlock
UNLOCK
就可以享有83% 的折價
- 沒錯沒錯
- 這樣
- 所以他那個視角也是一個很特別的視角
- 那你的視角就是印度媳婦的視角
- 對對對對
- 一開始還好啦
- 我覺得我是離開印度之後開始當媳婦
- 所以就是我的工作是在那裡三年
- 因為我的工作跟大部分人不一樣
- 因為台商他們可能就是台幹
- 然後要去公司裡面
- 可是
- 欸我可以就開始介紹我自己是什麼背景
- 當然啦
- 不然先來講
- 喔OK
- 哈哈哈哈
- 好啦
- 反正就是跟大家說一下
- 我那時候是
- 我2012年第一次去印度
- 然後2013年到2016年
- 正式在印度工作三年
- 那我是外交
- 不是外交部
- 我是教育部外派出去的華藥老師
- 教育部外派
- 然後在台灣負責單位是清華大學
- 所以他們辦了很多那種印度相關的講座
- 所以大家有興趣都可以去聽
- 那華語教學又是另外一個門派
- 就是這個職業本身是
- 到了不同的國家都會有不同的機會
- 對
- 那台灣的印度
- 台灣跟印度的這個交流
- 主要是來自於這個案子吧
- 叫做台灣華語教育中心
- 所以我們在印度的各個不同的省裡面
- 或者是邦
- 你的大學裡面都會設置台灣中心
- 那我就是在第一所台灣中心裡面工作三年
- 然後他在新德里北邊
- 新德里北邊
- 那已經滿北邊的
- 因為新德里本來就在印度的北部了
- 對對對對
- 欸可是就是這種華語教學
- 其實我覺得最近幾年還滿紅的
- 對啊 對啊
- 所以我常常聽到很多人去
- 即使本來不是念相關的科系
- 也會去進修華語教學
- 對
- 那我覺得大部分人懷抱一個夢想
- 就是想要到異地生活
- 想要到異國生活這樣
- 可是我大部分碰到的人都是嚮往去歐洲或是美國生活這樣
- 所以在眾多的選擇之中
- 為什麼你會選擇去印度教華語
- 欸這個其實有一個前面的機會讓我啟發的這個印度之旅
- 就是我2012年的時候
- 那時候我才在研究所念的是華語教學嘛
- 然後我就跟著教會去到尼泊爾
- 跟印度去服務兩個禮拜這樣
- 然後我就跟著他們
- 然後就去看學校看家庭啊什麼東西
- 然後就其實那時候我的感覺就會覺得
- 呃真的不是很喜歡這個國家
- 然後我就
- 我以為你想說的是喔喔喔
- 從此愛上印度就
- 就是我很多人就去印度或是東南亞國家
- 常常會拉肚子什麼那些
- 但是我都沒有
- 所以我就是一個健康的寶寶
- 進去又再出來
- 然後也都OK
- 而且我還在尼泊爾的時候還被人家請喝水
- 請喝水
- 因為就是我們要去拜訪當地
- 對
- 對
- 拜訪當地家庭
- 然後大家都會忠顧我們說
- 絕對不能喝當地的水
- 尤其是像地下水或水龍頭水都不要
- 你要喝瓶裝水對不對
- 然後呢
- 可是當那個媽媽遞給我
- 我跟我的隊友這樣互看一眼
- 想說哇
- 糟了
- 躲不開了
- 死啊死啊死啊
- 怎麼辦
- 不喝太失禮
- 我們要是代表教會對不對
- 然後不能就是很沒有禮貌
- 然後呢我就拿
- 而且他們很酷喔
- 他們是用一個
- 他們印度跟尼泊爾的杯子都很像
- 就是除了玻璃杯
- 當然就是那樣子
- 但是還有一個是
- 應該是不鏽鋼的那種高高的杯子
- 然後最常他們地飲料都是用那種
- 然後就摔著破
- 這樣很實用欸
- 還蠻實用的
- 然後就高高的
- 然後就拿著這樣看
- 然後他真的是滿滿一杯地下水
- 然後所以我跟我夥伴對看了之後呢
- 我就開始祸意
- 盡可能挑戰喝到最少的水
- 一次喝到最少的水
- 然後你知道心中我們兩個人都一直在禱告
- 主啊幫助我們
- 上帝啊幫助我們
- 我們不要拉肚子
- 因為才是旅行第二天而已
- 就如果拉肚子這樣會拖累全隊的人
- 對對對這樣
- 然後後來就真的認真的喝了兩口之後
- 然後我們大概也要離開
- 所以我就把它放回去
- 然後就說謝謝你的水
- 反正完全不要減少
- 就真的只有一點點
- 但是後來也OK
- 然後我就這樣平安的度過那兩個禮拜的時間
- 然後我覺得真的大開眼界
- 可是真的到恒河那一段的時候
- 我覺得那個給我很深的打擊
- 而且我是真的在腦海裡面跟上帝說
- 啊我覺得啊
- 就是你知道尼泊爾跟印度一生來一次就好了
- 就不用再回來了唷
- 就是對我可以跟你講的一樣
- 就是我可以去歐美國家裡面工作
- 我可以去歐美國家裡面工作
- 我可以當華語老師這樣就OK了
- 可是殊不知我跟你講
- 上帝真的會跟你開大玩笑
- 當我2013年要畢業的時候
- 申請國家申請學校什麼都沒有上
- 我大概寄出從論文的時間一直到就是2013年前半段
- 我投出大概100多封的履歷
- 哇這個100多是涵蓋世界各地所有地方
- 沒錯
- 都沒中
- 沒錯都沒中
- 然後我就覺得要不然就是覺得大家是怎麼內推還是怎麼樣
- 就是內定了
- 然後就很不公平
- 一定是一定是啊
- 我跟你講一定是啦
- 然後台灣的你知道就是他們有鬥爭但是我也不是很清楚
- 他們都很希望有經驗的老師
- 啊我就第一個菜鳥老師剛畢業你要去哪裡找第一個經驗
- 都沒有人要給
- 所以呢就是投投投然後投到2013年暑假前
- 然後就有人就丟給我
- 因為我們通常會都收到那些通知啊
- 然後我們系所都會寄
- 就是有人在招印度的華語老師
- 然後呢我老師就說
- 欸你要不要去投一下啊
- 然後就撒毀
- 就是我幹嘛去投
- 但是真的人生已經沒有什麼大的希望
- 因為我2012年底畢業
- 然後一直到2013的暑假
- 我的工作都是兼職
- 然後都沒有薪水
- 因為你知道就是教育部結案
- 啊兼職又沒薪水是怎樣
- 就是大家兼職的老師大概就會知道
- 因為在教育部的申請經費
- 他們通常是結案之後才發薪資
- 那可是剛好我接到三個都是兼職教課的案子
- 在不同的學校
- 對所以呢都是到了暑假前才發薪水
- 所以我就是過年完之後
- 已經餓很久了這樣
- 就是省著用用
- 對對對對
- 然後感謝爸媽沒有把我趕出家門
- 因為我那時候還住家裡嘛
- 就是其實親中已經很緊張了
- 但是那時候就咬著牙就想說
- 啊算了就投吧
- 跟拼了啊
- 對啊就反正沒有上就算了
- 然後我可能就
- 而且那時候我真的是在跟上帝講說
- 你知道我真的跟上帝對話很多
- 我就說我跟你講喔
- 你讓我進了華爾街教學所
- 然後現在畢業沒有工作了
- 那這個就是我最後一個頭的工作
- 沒有的話我就要回去教英文了這樣
- 然後投了上了之後
- 然後他們就馬上就隔天就通知我要去面試
- 然後面試後
- 蛤? 啊?
- 面試什麼東西?
- 就是要去新竹我在高雄
- 對
- 然後我們就線上面試
- 現在聽起來很普通
- 可是那時候其實真的是他們為我開了一個先例
- 哇那個時候大家可能不知道什麼叫Google Meet
- 或是zoom之類的
- 那時候根本沒有這種東西
- 對對對對
- 然後所以網路開著我還弄一個小白板
- 然後交給他們看
- 多乾啊
- 喔
- 就說來跟我一起說
- 沒有人要跟我一起說的
- 等一下面色鐵青的看著你家
- 對對對對
- 然後就是清華大學問我說
- 那黃老師就是你跟我分享一下
- 你之前去印度的經驗啊
- 那怎麼樣啊?
- 身體好不好?
- 我們今天的那個
- 最關心你的身體
- 最關心你的身體
- 對對對對
- 他就說很需要身體上體健的老師
- 他是真的在職缺裡面講協一行
- 哇
- 這已經傳遞出很多不詳的訊息
- 就是感覺好像是要把
- 華為老師說送死還怎麼樣
- 對
- 然後我就跟他們大方說
- 喔就去了
- 還可以啊
- 開心的回來
- 而且我們一路在車上
- 還唱了迪士尼的歌
- 這樣子就很開心
- 通過標準
- 然後他就說
- 那吃辣可以嗎?
- 我說也可以啊
- 吃辣就
- 反正我也可以自己煮嘛
- 有宿舍就可以煮一煮
- 他說
- 嗯
- 好的好
- 這樣還不錯
- 你說不定就有印度魂
- 然後我就說
- 好謝謝
- 哈哈哈哈
- 然後那一天晚上直接打電話來
- 就說黃老師恭喜你喔
- 你就可以入職了
- 哇
- 那就是我們希望你大概就是兩個禮拜
- 欸不是
- 兩個月之後
- 就是那時候六月嘛
- 然後八月要出去
- 這樣就不到兩個月
- 然後我說
- 蛤?
- 嗯
- 那時候還在高雄的路上騎腳踏車
- 然後接起來是什麼東西
- 然後說
- 那請問我有多少時間可以思考
- 希望你下禮拜一可以給我們答覆
- 這樣可以嗎
- 那時候已經星期五晚上了
- 哇
- 就給你一個週末
- 想好要不要就此去印度
- 對對對
- 然後就一個週末
- 然後我們教會的人就開始轟架
- 我說
- 蛤?
- 去印度什麼?
- 強暴率很高啊
- 什麼什麼
- 然後呢
- 就是真的到禮拜天晚上
- 我是抱著我媽哭說
- 我是不是做錯了去
- 呵呵
- 啊你媽表示
- 我媽說算了啦
- 沒關係
- 就簽三個月就回來
- 快離開家裡了
- 沒有

- 他真的有點擔心
- 因為像你們可能對於歷史人文
- 文化這些東西比較知道
- 但是其實我真的是零
- 我對印度的概念是零
- 即使去了一次之後還是零
- 所以大家說的一強暴案
- 這些沒聽過沒看過
- 然後就我都過在自己的小世界裡面
- 所以就是印度發生什麼事情
- 就跟我比較沒有相關
- OK
- 那這樣也好啊
- 就不用怕了
- 對對對
- 然後殊不知一去三個月
- 我去了第一個月
- 我就覺得我要繼續待
- 喔
- 然後就沿了一年再一年再一年
- 就變三年這樣
- 哇 可是為什麼
- 你轉變你的
- 你說你第一次去的時候
- 覺得這個地方還好
- 那為什麼你突然
- 下次去了一個月之後
- 你就覺得可以待下來
- 我覺得沒有還好
- 我覺得很不好欸
- 哈哈哈哈
- 我真的覺得
- 就像阿偉的時候
- 如果大家沒有聽過阿偉那一集的話
- 可以去聽
- 他就會說真的很吵雜
- 然後心情會變不好
- 就是一直會覺得很煩
- 因為聲音很多嘛
- 喇叭聲就啪啪啪啪
- 而且各種不同車型跟尺寸的車
- 他們的喇叭聲都是不一樣的
- 所以就好像在開喇叭交響樂
- 哈哈哈哈

- OK
- 所以他就是此起彼落這樣
- 應該沒有此起彼落
- 就是無限的喇叭紅炸
- 啪啪啪啪啪啪啪
- 對
- 然後可是因為我是喜歡安靜的人
- 雖然我很吵
- 但是我應該要全世界來聽我講話
- 對對對
- 大家都給我閉嘴
- 聽我講就對了
- 現在結果你講話沒人聽得到
- 因為所有人都按喇叭
- 哈哈哈哈
- 哈哈哈哈
- 然後是看他們機車按
- 然後卡車按
- 汽車也按
- 然後腳踏車也有那個鈴鈴鈴的
- 幹腳踏車
- 不是啊
- 腳踏車要按什麼東西啊
- 腳踏車這麼慢你要按
- 就是讓大家知道說我來囉
- 他們的那個喇叭聲
- 就是代表一個存在感
- 大招呼用的啦
- 對對對對
- 欸我在這啊
- 給它撞我啊
- 不管是你要切入車道
- 或者是這個叫什麼會車的時候
- 都要給它拉一下
- 然後所以對於我們台灣人
- 或者是歐美的人士來看
- 都會覺得
- 到底發生什麼事情
- 嚇到
- 為什麼這麼兇
- 嚇到
- 其實他沒有兇
- 他只是打個招呼
- 對
- 說欸你們別在這啊
- 對對對對
- 就我要走了
- 你讓我一下
- 我要來了
- 我要擠進來了
- 就是這個意思
- OK
- 甚至夜晚也都是這樣
- 嗯
- 既然這樣的話
- 那你怎麼會第二次去
- 就突然改觀了
- 因為想講第二次去
- 他也不會突然變安靜嗎
- 哈哈哈哈
- 我覺得幸好是因為
- 我派去的學校是在進郊
- 所以他在德里外面的那個省
- 叫做哈里亞納省
- 哈里亞納省
- 對對對對
- 然後他們那邊就有一個學校
- 然後他們是全校住宿的學校
- 四地大學
- 然後我們全部的教職員
- 什麼就住在學校裡面
- 職員可能可以出去
- 但是老師
- 像我們這種國際老師
- 就會住在校園裡面
- 所以就比較安靜
- 哦
- 學校不會有喇叭聲的
- 應該還好
- 就偶爾會有一些卡車的喇叭聲
- 因為就非常大聲
- 所以就是我覺得
- 我還是在一個算保護下的一個環境裡面
- 我還是可以在這個吵雜的環境裡面
- 找到一片淨土
- 那我覺得對我來講最大的影響
- 應該是在工作上面的成就感
- 哦
- 你說你在那邊教華語的時候
- 你教出心得了
- 對沒錯
- 然後這個就我們之後再說
- 但是就是我覺得
- 我看到我可以努力
- 然後我可以變好
- 然後我覺得如果我三個月就這樣放棄這個挑戰的話
- 不甘心離開
- 因為這件事情還沒有挑戰完
- 也是啊 因為三個月實在有點太短
- 對
- 你還說不上你認識印度
- 然後就已經走了這樣
- 沒錯沒錯
- 我覺得沒有去過印度的人
- 大家會怕什麼這些
- 是正常的
- 因為它的文化價值真的跟台灣的差很多
- 我覺得台灣的社會如果是往前挪個六七十年
- 可能我們外公外婆那個年代
- 就會比較好適應
- 你的意思是說他比較
- 就是印度的社會感覺起來比較像古早台灣這種感覺嗎
- 就很多在發展中嘛
- 所以發展中的像那種人與人之間的距離
- 就是比較摩擦比較多
- 對啦
- 畢竟印度人就是多嘛
- 所以他們之間的人與人的關係啊
- 或是什麼家庭關係什麼的都非常緊密
- 那這麼緊密的情況下
- 一定是很多麻煩事會發生的
- 對對對對
- 我還記得就有一次就是
- 那時候我男朋友現在我先生嘛
- 然後他用他的機車撞擊載著我
- 這麼帥?
- 很帥他超帥
- 我再給你看照片
- 可以貼嗎?可以貼照片嗎?
- 可以可以可以
- 大家都想看
- 大家反正也可以follow我的頻道
- 都可以看得到我們
- 他比較害羞一點
- 但是我都很願意就是秀他
- 四帥哥就沒問題
- 他就是騎著機車問路喔
- 對
- 因為在德里問路是很自然的事情
- 因為不是每一個人都有GPS
- 而且那時候2013年那個智慧型手機的普及率是
- 還是沒有那麼高
- 對還沒那麼高
- 對然後尤其像是那種計程車司機
- 他們不一定都有智慧型手機
- 所以我們就會停下來問路
- 然後他問完之後他騎走了欸
- 蛤?
- 然後我就拍他一下
- 我就說欸你怎麼沒有說謝謝
- 然後就說
- 喔要說謝謝嗎?
- 哈哈哈哈
- 真的沒有再說謝謝的啊
- 就我們的計程車司機這些都沒有啊
- 然後就搖搖頭
- 嗯
- 那個搖頭不是像我們左右搖
- 而是那個很多網肩綁靠
- 印度式搖頭
- 對對對搖一搖然後就走了
- 然後我對於這件事情耿耿於懷
- 我就教育我那時候的男朋友路易斯他就跟他說
- 你一定要跟人家說謝謝
- 可是
- 可是重點就是
- 明明他又不是李怡之邦來的人
- 我幹嘛這樣
- 而且就是我覺得謝謝這個東西在不同文化脈絡中
- 也有不同的意義啦
- 我覺得台灣真的很愛說謝謝
- 沒錯
- 倒是真的
- 而且我覺得受到日本殖民的童話吧
- 因為就是日本人本身是很有禮貌的
- 對
- 我覺得在台灣像客服這一部分都是做得非常好的
- 就是禮貌至上
- 可是我去跟我的印度學生討論這件事情的時候
- 他們就說不用說謝謝啊
- 為什麼要說謝謝
- 然後我說蛤?
- 然後他說對啊
- 你朋友幫你做個事情
- 你不需要說謝謝
- 要不然就太見外了
- 這麼一說也是有道理啦
- 其實
- 對
- 就像你不會跟你老公說謝謝
- 不是我不是說不會說
- 而是說小事情你就不會特別講
- 你還要特別跟他說
- 欸謝謝喔
- 這樣有點奇怪
- 對對對對
- 沒錯
- 所以就是我發現他們家人在講電話的時候
- 也很少會說謝謝這一類的
- 但是因為我跟他結婚之後
- 所以他們就特別對我說謝謝
- 哈哈哈哈
- 也不錯欸
- 哇
- 為了符合你的文化背景這樣
- 特別學來這套說
- 欸謝謝謝謝這樣
- 對對對沒錯
- 哇
- 這等於說整個家族對你最有禮貌了
- 其實他們之間都完全不會講謝謝啊
- 唯獨對你
- 我覺得他們有嚇到
- 因為我算是一個比較強勢的人
- 像有很多台灣泰勒可能
- 就是嫁過去或者是怎麼樣
- 然後他們的文化保有度就會比較低一點點
- 可是像我是非常堅持我自己的文化保有度
- 是在家裡面是高的
- OK
- 所以大家不能侵犯這一塊這樣
- 就是要尊重我
- 然後這不是我的文化情理
- 不要逼我這樣做這一類的事情
- 哇
- 這樣很好欸
- 我就身為一個就是異國戀情的夫妻
- 我覺得這一點是一個好事情
- 因為有些人會人氣吞聲嘛
- 可以這麼說
- 因為畢竟人在異地啊
- 然後
- 但有時候你其實心裡也不是這麼開心
- 可是你也覺得說
- 算了算了算了
- 就這樣過好了也沒關係
- 可是如果你這樣為自己發聲其實也不錯欸
- 我覺得要看家庭啦
- 因為像我的婆家他們人真的很好
- 所以他們很願意調整
- 可是我不覺得每一個印度先生都願意這樣調整
- OK
- 對啦
- 也是要看人
- 所以就是我覺得我也是非常感恩碰到我的家人
- 雖然他們聽不懂我在講什麼
- 非常由衷的感謝他們這樣
- 對
- 欸那剛剛講到這麼多
- 就是像是什麼說謝謝啊
- 或是人與人相處之類的
- 那你有沒有什麼你這次去印度之後的一些文化衝擊的體驗啊
- 就我剛剛其實提一些嘛
- 就像街景
- 除了車水馬龍之外
- 它的其實那個忙碌度是
- 非常精準
- 增加一些
- 就是例如像動物會在路上走走去
- 喔動物
- 狗啊
- 牛
- 對
- 每次看那種印度電影啊
- 或是印度什麼影集之類的
- 都是路上一家
- 就是有牛有狗有什麼
- 要什麼有什麼
- 對
- 我覺得就是因為德里還算是都市化很好的一個地方
- 而且他們因為希望就是他們首都可以
- 給別的外國人遊客看嘛
- 所以他們的接融算是OK
- 然後比較沒有動物的
- 可是因為我住在Sony Park
- 是在Hariana的一個小城裡面
- 小鎮
- 它根本就不算城
- 小鎮裡面
- 所以就是旁邊路邊是
- 它的路上基本上很長時候是沒有柏油路的
- 喔是土路這樣子
- 對對對對
- 所以就是車子開過去就是Yeah
- 城土滿天這樣
- 對對對對
- 然後牛的部分
- 我在網路上看過一些資料
- 但是我不是很確定
- 大家如果有什麼新的資料請分享給我們
- 但它就是說
- 當牛已經老了
- 沒有辦法在產牛奶
- 或者是
- 就是有經濟價值的時候
- 他們就會
- 這種黃牛
- 就是他們所謂的聖牛
- 就會放到街上他們自我
- 自由自在的退休這樣
- 哈哈哈哈
- 在我來講我覺得有一點驚訝
- 因為就是那些牛瘦巴巴的
- 人瘦那當然對
- 因為貧窮的部分
- 可是牛好像是他們的神
- 但是還是瘦巴巴的在路邊吃垃圾這樣
- 所以就對我來講
- 蛤這神跟吃垃圾的牛
- 好像沒有辦法對起來
- 對啦
- 但可能
- 因為你說如果大家經濟狀況不好的話
- 去養一個沒有生產力的牛
- 好像也是沒辦法的事情
- 對
- 然後他們就很多牛就會在路中央擋著啊
- 然後所以車子要繞道啊
- 什麼那些
- 對
- 對 這個車子常常看到影片
- 或是什麼照片之類的
- 對
- 就是可能交通堵塞
- 就是因為有牛正好在路中間這樣
- 然後大家也不可能去趕牛走這樣
- 可是我有看過
- 因為像有人就說
- 一定會非常不能夠侵犯這種牛的神聖性
- 可是其實還好
- 因為我也看過司機
- 就是車子過去的時候
- 去扒牛
- 對 扒牛一巴掌在他屁股上這樣
- 喔 你不是說按喇叭
- 你是說直接用錘的
- 就用手拍他一下這樣
- 我以為你說的扒牛是只按喇叭
- 有 有 有
- 真的要手打
- 也有也有
- 所以我們那時候在車上就大笑
- 因為就覺得
- 其實也不是我們想像中的那種
- 喔就是多麼的尊敬他們
- 也不見得
- 搞不好那個司機不是印度教徒
- 也有可能
- 非常有可能
- 對對對
- 然後路上還會
- 除這些動物之外呢
- 就因為在偏鄉的部分
- 他們還是會有養動物就是
- 這叫什麼
- 就是牧場的這種生活
- 所以他們要把羊趕去吃草的地方
- 所以就會從學校前一見過

- 對
- 而且那羊是大概50隻的那種羊
- 然後就是跟著車水馬龍這樣子
- 一直往前走
- 不知道要去哪裡
- 對
- 然後就是像我們學校真的是很偏
- 所以我曾經看過那個孔雀
- 飛到我宿舍的樓上
- 蛤 孔雀會飛
- 欸對
- 很酷齁
- 我也不知道
- 它好像就是一層樓一層樓
- 我以為孔雀只會走一走去而已
- 它會飛
- 它直接這樣吵啪吵上去
- 怪太屌了吧
- 對
- 然後就飛到
- 就我住在三樓
- 然後它就停在最頂的樓
- 就是隔壁洞的四樓這樣子
- 然後就在那邊
- 然後跟你四目交接這樣子
- 然後它就啊
- 這樣叫
- 哈哈
- 就我還特別把它錄起來
- 我真的覺得很high
- 因為就
- 就怎麼會有這麼多的生態
- 然後再來就是他們的鸚鵡
- 欸我不知道
- 我覺得每次看到那個綠鸚鵡
- 就有一種很硬度的感覺
- 不知道就感覺好像時空
- 又再轉了一下
- 然後說自己在印度的感覺
- 那個綠鸚鵡
- 就是在台灣我從來沒有看過
- 可是他們就是一直常常會飛在那個
- 屋簷的旁邊或樹上這樣子
- 喔喔喔喔
- 台灣基本上根本看不到野生的鸚鵡啊
- 不太會有啊
- 對
- 而且我就是城市慫嘛
- 所以我住在高雄
- 比較沒有偏鄉的經驗
- 也是
- 所以就看到那些動物很酷
- 還有貓頭鷹也會出現
- 妳說貓頭鷹自由自在咧
- 走來走去
- 就是對
- 他們黃昏的時候就會出現
- 然後我每次都超開心
- 因為我超級喜歡那個貓頭鷹的
- 喔貓頭鷹酷
- 對
- 對
- 所以就是很多
- 喔最後一個
- 我曾經在
- 因為我的宿舍是前面有一塊小陽台
- 然後再進入我的房子的
- 就是一個單人的那種studio套房的
- 有一天我從辦公室回家
- 就其實基本上就是跨一個校園
- 就到我們家了
- 然後我就開門
- 我的陽台上有一隻猴子
- 哈哈哈哈
- 妳說很大隻的那種嗎
- 對 而且牠是
- 就紅屁股的那種
- 喔紅屁股猴子喔
- 我就慢慢的把門
- 骨子經典款
- 我就把門關起來
- 因為我怕牠會
- 突然衝過來
- 打我
- 對對對對
- 因為其實印度的猴子比較兇一點
- 就有點像柴山的猴子
- 喔是喔
- 然後牠們不一定是那麼友善的
- 然後我怕就得什麼狂犬病那一類
- 然後就很麻煩
- 也是也是
- 之後往我的同事家繼續走這樣
- 哈哈哈哈
- 叫牠來幫妳抓猴子還是怎樣
- 就等牠離開吧
- 等牠自行消失
- 對然後我吃完晚餐之後就離開了
- 所以
- 搞不好還在妳衣櫥裡
- 是不定
- 欸什麼東西
- 可是我跟妳講
- 櫻圖裡面是別的
- 是老鼠
- 我真的是為了抓老鼠
- 喔幹
- 真的很煩欸
- 就是你知道
- 陳世聪在大樓裡面怎麼會有老鼠
- 通常是住在那種平房啊
- 或者是那種很老的住宅裡面會有
- 可是我到第二第三年的時候
- 我真的常常在跟老鼠打對開
- 哇
- 他們就會從外面
- 我不知道他們會爬牆
- 我從來也不知道老鼠會爬牆
- 老鼠你之後爬到
- 你住三樓
- 等一下爬到三樓來
- 我相信他們應該是一層
- 對對對對
- 可是他們一層一層爬的應該不會
- 直直的像蜘蛛人爬到去
- 應該是不會啊
- 然後他們就從抽油煙機的管子裡面
- 喔
- 哇
- 進入了我家
- 那真的是
- 仿不勝仿
- 超可怕
- 然後
- 幸好我還有一個蚊帳
- 所以就是
- 如果有任何老鼠進來的時候
- 他們比較不會直接進入我的床上
- 它頂多趴在你的蚊帳上
- 跟你對視而已
- 哈哈哈哈
- 真的發生過了
- 真實事件是不是
- 不是就是很煩
- 因為它可能會
- 我很討厭那種
- 突然衝出來的東西
- 喔對啦
- 誰喜歡啊
- 奇怪
- 可是有很多人
- 他們就是不會被嚇到那麼多
- 但是其實如果是禁止的動物什麼那些
- 我都沒有在怕
- 蛇啊那些老鼠就是很在怕
- 可是我就很討厭它從
- 狂衝

- 對對對對
- 所以這是一個文化衝擊
- 另外一個就是
- 喔還有一個
- 就是我一開始到德里的時候
- 我就嚇到
- 因為就是
- 人種就算了對不對
- 然後機場很多人就算了
