哈囉,大家好,我是有上傑
那從去年八月開始啊,不知不覺到現在
解鎖地球已經陪伴大家半年的時間了
那不知道在這過程中,大家還喜歡我們的節目嗎?
那跟大家說一個消息
在FIRSTORY的技術支援下
我們解鎖地球終於有自己的贊助連結了
現在大家只要到每一個單集下面的show notes
- 它是一個在那邊已經工作了就有台商
- 然後在那邊退休
- 它好像在那邊類似居留證之類的東西
- 因為我家也有用餅
- 幹
- 你是住他家是不是還是什麼
- 他經營的什麼民宿
- 沒有那就是他家
- 那為什麼你住他家
- 他是跟什麼
- 就是外交部合作還是什麼
- 我們住他家還是有付房租
- 就等於是
- 感覺像是直接跟政府單位合作的Airbnb
- 什麼感覺

- 然後就直接安排你們住他家這樣子
- 然後游泳池豪宅這樣子
- 滿

- 滿大的
- 想說哇
- 我到時候想說這個
- 當這個兵很爽
- 他說這個可能是有人生的巔峰這樣子
- 差不多
- 差不多
- 所以你也住就是住在那種超級豪宅裡面
- 然後在試
- 就是可能稍微近腳一點的地方
- 對
- 聽起來真的爽到不行
- 那這樣你上班的地方你交課是交小學還是國中
- 我交課的年級是中學
- 就是七八九年級
- 然後是華僑中學這樣
- 華僑中學
- 所以就是說他們在一般的課裡面就有編制中文課
- 然後就會找像是台灣的替代儀去交課這樣
- 對
- 對
- 那間學校
- 他跟我不知道他為什麼跟台灣的關係非常非常好
- 他們那間學校用的教材都是教育部給的
- 教育部

- 就是什麼康軒
- 什麼南一
- 就是你聽過的這種
- 所以就是在中美洲有一些人
- 還是用康軒跟南一在學繁體中文
- 學繁體中文
- 欸他這樣的話
- 那他們自己
- 因為他們都是華僑嘛
- 可是他們中文應該都不太好
- 就是好幾代之後這樣子
- 所以他們對於中文
- 我不知道
- 他們普遍的中文程度到底怎麼樣
- 基本上華僑的中文程度都還算不錯
- 就算他們不會寫
- 他們也會講
- 因為在家裡一直會聽
- 所以會說跟聽
- 可是寫就不一定很好
- 喔
- 因為寫字很難嘛
- 對啊
- 所以那這樣的話
- 他們就是從小就有中文課
- 一路教上來這樣
- 嗯

- 他這所學校很厲害的是
- 他們是從幼稚園開始一路到高中
- 所以大概是從幼稚園不知道幾歲
- 可能六歲吧
- 一直到你十八歲
- 他們就是完全中學
- 欸他已經不是完全中學
- 他已經完全中小學
- 幼稚園的概念
- 對
- 然後他的中文課是從小學三年級
- 一路到畢業
- 就是從三年級到十二年級
- 如果他們有認真學的話
- 中文應該蠻強
- 對
- 但重點是最糟的是
- 他們呢
- 他們什麼
- 他們中文課有分級制度
- 喔
- 就是說很像就是大學上英文課
- 他們可能會先考個什麼試啊
- 然後看你的能力分班之類的
- 對
- 然後我個人是不太喜歡能力分班這件事
- 為什麼
- 這樣不是應該比較好教嗎
- 但如果你教到初級班你就會知道
- 哈哈哈哈
- 所以你是教初級班還是怎樣
- 沒有每個老師都會分配到至少一個初級班
- 一個中級班
- 全部都有這樣子

- 那初級班的等級是
- 我那個時候接到初級班是九年級
- 等於說他已經從三四五六七八
- 他已經念了六年的中文喔
- 然後他都在初級班
- 然後我想說六年的中文應該你知道
- 至少自我介紹可以吧這樣
- 因為我們拿到的點名單是上面
- 他們每個人都有中文名字
- 可是每個小學生
- 台灣的小學生也有英文名字
- 可是他們不見得講的是什麼英文
- 哈哈哈哈
- 沒錯就是這樣
- 然後我就想說
- 我第一天第一堂到的時候
- 我想說好就請他們自我介紹一下好了
- 就是設計一個小遊戲
- 這樣很開心
- 當作一個新的開始
- 然後結果
- 他們自我介紹只能介紹到自己的名字
- 比如說我叫XXX
- 對
- 然後因為我設計就是比如說名字
- 然後什麼年齡
- 然後我已經學中文幾年
- 然後這個劇情是我已經給他們了
- 就是他們只要填入數字
- 就是我已經上中文課六年了
- 這樣他只要填六
- 哈哈哈哈
- 因為他念不出來那個劇情
- 對
- 然後可能六不會念中文
- 欸幹
- 學六年耶
- 學六年耶
- 好啦
- 可是學六年英文的台灣人
- 有些人也是講不太出來完整的句子沒錯啦
- 對是沒錯
- 所以我也不能說什麼
- 哈哈哈哈
- 欸可是這樣初級班怎麼教啊
- 教你我他這樣子
- 最基本的東西
- 最難的是你知道嗎
- 最難的狀況是什麼
- 就是因為其他班
- 就同一個年級會有其他能力的班對不對
- 對
- 所以我們的考試內容要統一
- 啊什麼意思
- 就是
- 高級班他早就已經可以就是寫文章了
- 但我的初級班還在 struggle怎麼講自我介紹
- 但我的課程內容要跟其他班一樣
- 那這樣能力分班有意義嗎
- 就考試全部考一樣
- 那這樣高級班人不是全部考100分
- 對啊
- 然後你剛才那考驗要怎麼出來
- 所以
- 出自我介紹讓大家寫
- 所以我才說很難啊
- 欸幹這個設計有問題啊
- 對啊所以我才說我不喜歡能力分級
- 但沒有辦法就是會遇到這種狀況
- 可是他學那麼久還這麼弱的原因是怎樣
- 他們都沒在認真上課的
- 我覺得他們就是一個風
- 就是他們上課的風氣跟你知道那邊的
- 那邊的光度民進吧
- 欸對耶
- 對耶我不知道班辣馬的國中生他們上課的風氣是怎樣
- 無法想像欸腦中沒有畫面
- 我跟你講大家想像你國中在幹嘛
- 如果就是在考試或上補習班對不對
- 沒有他們那邊
- 首先他們學校要求要快樂學習
- 所以他們不能帶課本回家
- 不能帶課本回家
- 那跟課本要放抽屜一樣
- 他們有自己的職務
- 每間教室都有自己的職務
- 等一下他還要禁止帶課本回家
- 他不鼓勵就算了還要禁止
- 對啊
- 那就是你絕不能念書就對了
- 而且我絕不能出作業
- 哈囉回家作業的回家的部分
- 幹那這樣怎麼辦啊
- 這樣要怎麼辦
- 我超困擾的啊
- 然後就後來就變成只能在課堂上帶著他們寫作業
- 喔就是回家作業變成課堂作業這樣
- 那這樣的話大家就
- 就是上完課馬上就寫作業
- 然後就把課本放在教室這樣
- 對或者是那一整堂課我就是在帶他們寫作業
- 欸可是這樣聽起來蠻爽的
- 以老師來說的確蠻爽的
- 因為我就可以少背一點課
- 幹
- 幹
- 對
- 然後學生的話呢他們很high
- 像我那個初級班
- 我第一天上課不是請他們自我介紹嗎
- 然後我就在我先自我介紹
- 我就介紹我自己
- 然後就有個學生衝過來
- 真的從教室的最後一排然後衝到最前面
- 然後跟我說老師老師看我跳舞
- 然後我想說
- 蛤
- 後來他就跑回去最後面
- 然後再跳breaking
- 意思是說直接在教室後面開始跳
- 對
- 他就在跳地板動作

- 然後大家在幹嘛
- 大家就在呼
- 然後他就在呼
- 嗚呼
- 等一下就在
- 不是阿這個到底
- 他到底還在衝三小
- 我搞不懂阿
- 我真的搞不懂阿
- 你說他直接跑上來說
- 你看我跳這樣
- 然後他馬上就開始跳
- 然後就馬上開始跳
- 他是等很久要秀一下
- 喔是嗎
- 我那也搞不懂
- 然後我就會很認真的看完他
- 因為我自己也有跳舞
- 然後我覺得他跳得蠻好的
- 忍不住去看完了
- 可是我又不能鼓勵他說
- 幹你跳得很好
- 我沒有辦法
- 幹
- 對
- 所以這是他們日常
- 每天都有人開始在那邊
- 對阿
- 然後他們因為
- 因為那個
- 我後來才知道
- 我教的那班初級班的
- 9年級初級班
- 就是全校公認的雷班
- 你說這句大家都不念書
- 對 超雷
- 然後各種狀況
- 各種問題學生都有
- 就是他們有一個
- 就是一個艷麗型的
- 他才9年級是幾歲阿
- 大概15、16吧
- 國三嘛差不多
- 對 國三
- 然後我就剛到
- 沒幾天
- 就是老師有提醒我
- 喔你們班那個某某某阿
- 他長得很漂亮
- 怎麼樣怎麼樣怎麼樣
- 我想說我是不太care
- 他有沒有漂亮阿
- 然後
- 然後他就跟你講這個的意義是
- 他跟我講就是說
- 喔那你要注意他一下
- 因為去年他已經傳出裸照風波
- 幹
- 國三他媽的
- 就是裸照風波
- 而且去年是裸二
- 好好好好
- 然後他就說他選
- 就是去年他的那個
- 他就拍了一些
- 裸露的照片
- 然後被同學們傳來傳去
- 那他自己是樂在其中還是什麼
- 他自己好像也沒有覺得這件事怎麼樣
- 反正他都拍了嘛
- 就是他可能想要讓別人看這樣
- 可能是
- 這樣的話聽起來他是
- 沒有特別認真上課的
- 他不是阿
- 他沒有阿
- 而且他們還很吉拜的就是
- 他們很喜歡
- 假裝很認真上課
- 可能他們假裝都假裝得非常爛
- 就是很假這樣子
- 對
- 就是他們會做一群
- 就可能三個人做一起
- 然後就在那邊聊天聊天
- 然後他們做後面角落
- 然後他們都以為我看不到
- 我不知道他們到底在想什麼
- 可是學生好像都這樣
- 然後我就會上課想到班
- 然後我就會故意走
- 他們那邊說
- 就我要走過去的時候
- 他們就會瞬間轉回來坐在前面
- 然後我就會說
- 我就會問他們說
- 誒?剛剛在幹嘛
- 他們就說
- 我們在上課
- 我們在上課阿
- 然後就開始在抄
- 開始一直看黑板
- 然後在抄東西
- 然後都抄錯了
- 都抄錯了
- 看
- 演不演像一點就這樣
- 對啊

- 然後我就一直故意弄他們
- 就一直跟他們說
- 所以我剛剛在講什麼
- 然後沒有人回答得出來
- 這樣 對
- 不過其實台灣的國中生也是這樣
- 就是會有好學生
- 然後上課也有一群人
- 絕對不會認真上課
- 對啊
- 可是我覺得台灣
- 不認真上課的學生
- 至少都裝得出來
- 它是有一個極限在這樣
- 對對對
- 還是有點最低的尺度這樣
- 沒錯
- 那邊的話就是
- 可是他們至少試著要裝
- 也算是有肯定他們努力這樣
- 好吧
- 我也是這樣想
- 可是這樣的話
- 你教中文是全部用西班牙文教
- 沒有
- 我教中文的話
- 因為我覺得西班牙文沒有到母語者那個程度
- 但基本上簡單的課是用於
- 比如說做一下啊
- 拿課本啊
- 安靜啊
- 或簡單的罵人的
- 就是一定要喝一下
- 那這樣的話
- 那你平常教中文跟西班牙文混用這樣

- 其實就是盡量
- 我自己是盡量
- 希望是沉浸式的方法
- 沉浸式就是盡量讓他們完全沉浸在他們要的目的於
- 就是他們來說就是中文
- 盡量讓他們一直聽到中文
- 我覺得這樣對他們幫助會最大
- 但我大概試了兩天我就放棄了
- 因為發現沒有人聽得懂在公開小
- 對
- 然後可以搭配英文
- 就是中文英文跟西班牙文都可以
- 全部一起用這樣
- 對

- 沒錯
- 欸可是這個是初級班嘛對不對
- 那如果是高級班或是什麼比較好的班
- 這樣的話上課起來是不是比較好
- 對上課狀況他們會比較認真
- 跟focus
- 然後上高級班的話
- 就可以完全用中文上課
- 完全用中文就是全
- 對啦沒錯啦
- 你剛剛說他們都可以寫文章了

- 對
- 照理講他們應該蠻強
- 嗯 但有趣的就是在高級班
- 你就不太能用英文上課
- 因為如果他們是華僑學生的話
- 他們徹頭徹尾英文很爛
- 所以他們就是中文比英文強
- 所以你也不用特別用什麼英文這樣
- 對對對沒錯
- 欸可是這樣的話你們總共
- 像你這樣的老師在那個學校裡有多少人
- 呃我那年去
- 每年好像是招四個替代儀
- 招四個替代儀
- 對然後我們
- 我這一年好像不足額
- 所以只有三個去
- 然後我們剛好被分配大概國小
- 國中跟高中
- 喔那所以你剛好分到國中
- 對我分到國中
- 欸幹那分到國小不是更崩潰我覺得
- 國小好像還好
- 他們都覺得國小是天使
- 蛤
- 國小最恐怖吧
- 我後來這樣聽下來之後
- 就跟我其他兩個同事
- 討論下來我覺得最恐怖的是國中
- 沒有錯
- 好啦應該是恐怖的點不一樣
- 小朋友是不受控
- 然後國中就很中二這樣
- 對
- 國小的是他們會
- 就是他們會不受控
- 但是他們下課就會過來抱你大腿
- 是真的抱你大腿
- 不是那種
- 對不是排馬屁的意思
- 所以還是有被療癒到這樣
- 對就會被療癒到
- 好好好OK這樣
- 可是國中完全沒有任何可愛的地方
- 我在搖頭
- 對我忘記講話搖頭
- 我在搖頭
- 欸可是對他們來說
- 他們學中文對他們來說是什麼樣的意義
- 因為像台灣學生學英文
- 大家都知道英文很有用嘛
- 可是對他們來說他們真的會覺得中文有用嗎
- 我有問過一些學生
- 然後像高級班學生他們會知道
- 一個是他們自己的母語
- 然後另外一個是他們知道這樣以後
- 申請學校或者是找工作會比較容易
- 因為其實巴拿馬跟台灣
- 到現在應該都還有
- 就是商業往來還是很頻繁
- 然後我之前休假期間也有去過
- 巴拿馬北部另外一個大臣
- 狗浪去那邊的時候就會有一些要台商招待這樣子
- 然後他們真的就是認真
- 是很厲害的那種大咖這樣子
- 喔所以說在巴拿馬其實很多台商在那邊做生意就對了
- 對對對對
- 所以如果他們中文好
- 他們又是台裔的
- 就可能譬如進入這些企業工作這樣子
- 或者是你有中文能力的話
- 就也比較容易
- 欸可是他們中文課再怎麼多
- 應該也是可能一個禮拜幾堂這樣
- 所以你也不用說每天就上很多堂課
- 對我的課堂數每天最多好像是三四個小時吧
- 一天最多的時候會是這樣
- 問題是這邊很麻煩就是
- 一個是
- 雖然你一個首先是你是老師你就不可能
- 雖然你只有三四個小時
- 但你要備課

- 所以備課時間很多
- 然後再來是他們很神秘的是
- 他們需要有一個顧走廊的時間
- 你說站在走廊上巡邏?
- 對
- 你說老師在走廊上巡邏?
- 對很神奇吧
- 管這這幹嘛?
- 他們那間學校很神奇
- 而且我以為這是國小的
- 就是這個群裸給國小生就好
- 也沒有就是國高中都要
- 就是他們早上會有個休息時間
- 跟中午會有個午休時間
- 然後早上的休息時間呢
- 我們要老師就會被安排到特定的點上
- 然後就叫他在走廊上比如說
- 叫他提醒他們說不要亂跑啊
- 不要玩手機啊
- 然後什麼什麼可以不能
- 什麼時候可以做什麼什麼不能做這樣
- 這是一個站哨的概念
- 站在那裡
- 他說不要跑啊什麼不要亂搞啊這樣
- 對對
- 其實還有這種職位喔

- 而且他是就是每個老師都要輪流
- 所以一個月可能會被輪到兩三次
- 然後就站在那裡這樣
- 對超廢的
- 幹真的很廢欸
- 然後你還不能跟學生聊天
- 因為你那個時候在站哨
- 對你要管他們這樣
- 照理這樣
- 然後有一個比較有趣的是
- 因為我在七年級我叫做是
- 程度好的初級班
- 他還是初級但是程度好一點
- 他分這麼細喔
- 因為其實每個年級有四班
- 有初級有兩個初級
- 一個中級一個高級
- 然後初級會有一個
- 比較好的初級
- 好一點點
- 還跟放牛班這樣
- 差不多
- 應該
- 然後因為那堂課我們
- 就是第一
- 青年級第一堂課就是要學幾塊錢
- 對然後我就想說
- 因為想說他們年紀來就比較小一點
- 然後我就用
- 用比較很像哼唱的方法
- 所以我第一堂課就是他們就在幾塊錢
- 幾塊錢
- 這個麵包幾塊錢
- 或什麼這個包子多少錢
- 啊多少錢還幾塊錢
- 反正就是一直重複這樣子
- 然後他們第一堂課就玩得很開心
- 然後我的上師來看
- 來監課他也覺得很棒這樣子
- 然後我就很開心
- 太棒了
- 然後後來我只要走進教室
- 然後我只要開始幾塊錢
- 然後全班就開始幾塊錢
- 幾塊錢
- 然後他們永遠都只會這個
- 結果他學了半天還是只會這一句
- 對
- 而且他們
- 而且考試就也只會寫這些東西
- 就是他重複性的東西就只有那樣
- 那就是那樣
- 他沒有辦法
- 他沒有轉不過來這樣
- 無法吸收更多知識
- 對對對對
- 或者是
- 假設之前練習就是一直講五塊錢五塊錢
- 然後你
- 然後你就是拿了十
- 你寫了一個十在黑板上
- 他就會說幾塊錢幾塊錢
- 這個包子幾塊錢
- 然後我就指
- 他就會說
- 幾塊錢幾塊
- 這個包子五塊錢
- 那我就寫十
- 這樣
- 但他只能記一個數字這樣
- 就是你教什麼他就只能打捏啊
- 對所以你輸入什麼他就講什麼這樣子
- 口味
- 但也是蠻有趣的啦
- 但是很high
- 真是那一般就是
- 因為他們是還沒變成
- 他們還是小惡魔
- 他們還沒有開始你知道變成
- 還沒變成幾百中二神
- 對啦還可以enjoy在這個唱歌拍手之中
- 對對對
- 就會覺得好像很可愛這樣
- 但好像需要還是要慢慢的告訴他們說
- 記得變通一下這樣
- OK 對
- 然後我想到有一個
- 有一個也是七年級
- 發生在七年級
- 七年級就是國一

- 國一對對國一的時候
- 然後那個時候是考試
- 反正就有一個學生他很誇張
- 他上課就是他是宇宙公主
- 公主心的這樣
- 就是我不說學生都會假裝自己在
- 其實很認真
- 上課的時候假裝認真
- 那其實他都在聊天
- 然後這位公主呢
- 就是他會一直跟同學聊天
- 然後聊聊聊
- 然後走過去我就說
- 欸你的課本勒
- 然後他就會翻我白眼大方
- 直接正對我翻白眼
- 然後我就也超想翻白眼
- 但是我不能
- 然後我就會說
- 課本勒
- 他就說在抽屜阿
- 我說那就拿出來阿
- 要上課了
- 這樣但這個時候已經上課大概20分鐘了
- 他完全沒有要上課的意思阿
- 其實我很不想理他啦
- 但是沒有辦法
- 要顧到沒有學生
- 然後這件事情
- 考試這件事就發生在他身上
- 就是因為他上課態度都很差
- 所以我期末給他的那個平時成績
- 我覺得他很低分
- 然後我就被他媽媽約談
- 他媽媽疑似是當地政府的高官這樣子
- 所以他在官說這樣子
- 類似這個狀況
- 然後他
- 然後面談的時候
- 我被問的第一個問題就算是
- 他媽媽就說
- 老師你會打分數嗎
- 哈哈哈哈
- 然後我就整個剉裂蛋
- 她說
- 哇喔

- 這樣子
- 怎麼搞得好像很嚴重呢
- 然後我就想說怎麼了
- 這樣然後她媽媽就說
- 老師你會打分數嗎
- 哈哈哈哈
- 然後我就整個剉裂蛋
- 她說
- 哇喔喔
- 我不過就是T在E嘛
- 這樣子
- 怎麼搞得好像很嚴重呢
- 看
- 然後我就整個剉裂蛋
- 她說
- 哇喔
- 我不過就是T在E嘛
- 這樣子
- 怎麼搞得好像很嚴重呢
- 看
- 然後我就想說怎麼了
- 這樣
- 這樣
- 然後她媽媽就說
- 嗯老師
- 因為那個分數的表格上面
- 它寫Appreciation Score
-  Appreciation Score
- 對
- 然後那一籃是Appreciation Score
- 然後我接到的指令是
- 這一格我要給平時成績
- 然後我就給了平時成績嘛
- 結果她媽媽就說
-  Appreciation Score
- 應該是鼓勵分數
- 你看我女兒從期中考考的分數是這樣子
- 然後期末考進步這麼多
- 你應該給她鼓勵分數才對阿
- 等一下你說
- 她的意思是說進步越多
- 那個分數越高

- 對對對對
- 她是這個意思
- 可是照理講也沒這個道理
- 完全沒有這個道理阿
- 幹
- 然後我就想說
- 我就試圖跟她解釋說
- 我接收到的資訊是Appreciation Score
- 要給的是平時成績
- 然後我想跟她解釋說
- 因為她女兒在平時上課的狀況是怎麼樣
- 怎麼樣
- 然後我要開始解釋之前呢
- 我就被我的長官阻止了
- 因為那個時候去跟家長面談的時候
- 有一個長官
- 她是當地人
- 所以她的西班牙文比較OK
- 就變成是一起
- 要拜翻譯這樣

- 對
- 然後我就被打斷
- 我就不能去解釋這個
- 然後我後來結束之後我就回去
- 然後我的上司就跟我講說
- 那就改她的分數
- 然後我就說確定嗎
- 因為這樣跟我一開始打的分數是有出入的嗎
- 就是平時成績跟鼓勵分數是不一樣的
- 我說如果要改的話
- 那我變全班都要改
- 就這個定義就要改掉這樣子

- 然後我就想說
- 這樣應該就會很麻煩
- 然後她應該就不想讓我改
- 然後結果
- 結果書自我上司就說改她的就好了
- 就是這個定義只是適用在她身上
- 對 適用在這名高官的公主女兒身上
- 欸幹
- 然後她就
- 所以你就變得很高分這樣
- 她就變得滿高分的啊
- 這樣的話她根本不用考什麼試啊
- 直接過來說幫我打100
- 差不多是這個意思
- 那我也當然沒有給她到很高分啦
- 我還是給她到一個OK的分數
- 一個OK的分數
- 就是至少不會這麼慘
- 就是叫我只改分數的那個是我的
- 是等於是整個整監學校的中學部的主任
- 中文部的主任
- 嗯
- 對她是中文部最高
- 然後後來再下來有一個中學部的組長
- 後來就被有被組長約談
- 那她怎樣
- 她怪你改分數是不是
- 她也沒有怪我
- 她就是在跟我講說
- 就是職場上都是會遇到這種
- 算是在安撫我這樣子
- 喔就是她說
- 欸這邊有這邊的玩法這樣子

- 然後我就想說好吧
- 就真的是看盡了黑暗面這樣子
- 幹
- 幹
- 這些事情發生的時候剛好差不多就遇到了斷交
- 欸喔你是在那邊的當下遇到斷交
- 對我完全就是在當地體會到所有斷交的過程
- 欸等一下那斷交前你有感受到那個風雲變色的感覺嗎
- 完全沒有
- 其實某一天早上起來斷交這樣
- 而且你知道我怎麼知道的嗎
- 是我台灣的朋友貼新聞給我看我才知道
- 那你在當地結果你完全不知道
